time_center_iso,t_center_s,loc,R_660_940
2025-10-21T12:44:44.306,196.48,loc_9,2.4953022770623496
2025-10-21T12:44:44.306,196.48,loc_10,0.882999225464218
2025-10-21T12:44:44.306,196.48,loc_11,1.2703587665223859
2025-10-21T12:44:44.306,196.48,loc_12,1.4535921138541816
2025-10-21T12:44:45.110,197.48,loc_1,0.43082540169214867
2025-10-21T12:44:45.110,197.48,loc_2,0.7017685736182228
2025-10-21T12:44:45.110,197.48,loc_3,1.025458692196242
2025-10-21T12:44:45.110,197.48,loc_4,1.052295060951745
2025-10-21T12:44:45.110,197.48,loc_5,1.046807740619184
2025-10-21T12:44:45.110,197.48,loc_6,4.155377337529931
2025-10-21T12:44:45.110,197.48,loc_7,1.5372017478166309
2025-10-21T12:44:45.110,197.48,loc_8,1.983196478410041
2025-10-21T12:44:45.110,197.48,loc_9,2.359035359619949
2025-10-21T12:44:45.110,197.48,loc_10,0.9468891437070343
2025-10-21T12:44:45.110,197.48,loc_11,1.2885565771361813
2025-10-21T12:44:45.110,197.48,loc_12,1.3460719638206606
2025-10-21T12:44:45.982,198.48,loc_1,0.3745774103409139
2025-10-21T12:44:45.982,198.48,loc_2,0.6967777228487152
2025-10-21T12:44:45.982,198.48,loc_3,1.053408970551915
2025-10-21T12:44:45.982,198.48,loc_4,1.0171667311523689
2025-10-21T12:44:45.982,198.48,loc_5,1.0792398029715728
2025-10-21T12:44:45.982,198.48,loc_6,3.4875457766484184
2025-10-21T12:44:45.982,198.48,loc_7,1.426540183659904
2025-10-21T12:44:45.982,198.48,loc_8,1.9227569441246881
2025-10-21T12:44:45.982,198.48,loc_9,2.2567424925372044
2025-10-21T12:44:45.982,198.48,loc_10,0.9391504407829591
2025-10-21T12:44:45.982,198.48,loc_11,1.28047877467779
2025-10-21T12:44:45.982,198.48,loc_12,1.4174710282702323
2025-10-21T12:44:46.767,199.48,loc_1,0.29326364263342697
2025-10-21T12:44:46.767,199.48,loc_2,0.753769760902922
2025-10-21T12:44:46.767,199.48,loc_3,1.0212433867218198
2025-10-21T12:44:46.767,199.48,loc_4,1.0032728612644517
2025-10-21T12:44:46.767,199.48,loc_5,1.0434998791715466
2025-10-21T12:44:46.767,199.48,loc_6,3.5286328527445847
2025-10-21T12:44:46.767,199.48,loc_7,1.2664849097444537
2025-10-21T12:44:46.767,199.48,loc_8,1.647542320117333
2025-10-21T12:44:46.767,199.48,loc_9,2.2343869314645635
